Rejected,Timestamp,Gender,Age,Do you have experience with Credit Approval Systems or Finance?,What browser are you using?,What time is it NOW?,Q1 correction,What did the Credit Approval System decide for John?,Q2 correction,What is an inquiry (in this context)?,Q3 correction,"What type of inquiries can affect John's score, the hard or the soft ones?",Q4 correction,Provide an example of hard inquiry.,Q5 correction,How can an account become delinquent?,Q6 correction,Which specific process was used by the Bank to automatically decide whether to assign the loan?,Q7 correction,What are the known issues of the specific technology used by the Bank (to automatically predict John's risk performance and to suggest avenues for improvement)?,"What time is it, NOW?",What would you suggest to improve the system?,1- I think that I would like to use this explanatory system frequently.,2- I found the explanatory system unnecessarily complex.,3- I thought the explanatory system was easy to use.,4- I think that I would need the support of a technical person to be able to use this explanatory system.,5- I found the various functions in this explanatory system were well integrated.,6- I thought there was too much inconsistency in this explanatory system.,7- I would imagine that most people would learn to use this explanatory system very quickly.,8- I found the explanatory system very cumbersome to use.,9- I felt very confident using the explanatory system.,10- I needed to learn a lot of things before I could get going with this explanatory system.
No,2020/09/25 6:00:42 PM GMT+2,Female,55,Yes,Norton safe search,16:48,Yes,the loan was denied,Yes,when someone reviews your credit report to see if you get the loan,Yes,hard,Yes,mortgage- checking you have enough money to pay for it ,Yes,a cardholder falls behind on making required monthly payments,No,Months since most recent credit inquiry not within the last 7 days.,No,lots of factors ,16:59,not just using technology but speak to people about their loans more ,3,4,2,4,3,4,3,3,2,4
No,2020/09/25 6:34:52 PM GMT+2,Female,50,No,Chrome,17:00,No,if to approve his loan,No,if John is eligible for a loan he's asking for,No,both,Yes,"what debts does John have (mortgage, loans, etc,.)",No,if John defaults,No,John's credit score,No,If the system doesn't collect all information required,17:12,take into account the history of the person,5,5,1,3,2,3,1,5,1,4
No,2020/09/25 6:21:15 PM GMT+2,Female,48,Yes,Firefox,17:11,Yes,He was not eligible for the loan,No,An application to apply for credit,No,"The acounts he has , age of debts & most recent enquireys",No,When an application appears on your credit score ,Yes,When payment is not made for over 30 days,No,Credit scoring,No,Increase his aged accounts & wait 2 days after applying for credit,17:23,,3,4,4,4,3,3,3,4,1,5
No,2020/09/25 5:56:33 PM GMT+2,Female,41,No,Chrome,16:53,Yes,rejected,No,loan request,Yes,hard,Yes,request credit,Yes,by failing payments,Yes,artificial intelligence,No,It doesn't take into account variables,16:55,Having real person assessing application,2,4,2,4,3,3,3,4,3,4
No,2020/09/25 6:17:22 PM GMT+2,Female,38,No,Chrome,11:11,Yes,Denied the loan.,Yes,Someone checking his credit score.,Yes,Hard ones.,Yes,Bank can make a hard check when someone requests a loan.,Yes,Not paying in a timely manner.,No,It calculated a risk factor.,No,I don't know.,11:15,"Seems fine, since it provides feedback on the key issues that need to be worked on.",4,2,5,2,3,2,4,1,4,2
No,2020/09/25 6:18:21 PM GMT+2,Female,38,No,Chrome,17:12,Yes,Approval was denied ,Yes,"When one apply for a credit, the company will check the requestor credit report as part of the approval process. ",Yes,hard,Yes,A credit card company checking your credit after you applied for a card.,Yes,While being 30 days late is generally considered delinquent,Yes,AI,Yes,issue with data collection and analyses re accuracy,17:16, human spotcheck or validation software,3,2,4,2,3,2,3,2,4,2
No,2020/09/25 7:04:27 PM GMT+2,Female,38,No,brave,17:55,Yes,Denied,Yes,Check,No,credits,No,did not paid on time,Yes,people do not pay ,Yes,Artificial Neural Network,Yes,Contrastive Explanations Method (CEM),18:00,Clear report with all the information stated,3,4,2,3,2,3,4,4,2,4
No,2020/09/25 6:11:00 PM GMT+2,Female,37,No,Samsung internet ,17:04,Yes,There are some improvements that can be made in order to be accepted for credit.,No,An inquiry is showing what can be done to improve the outcome.,No,No searches in seven day. Improving number of delinquent accounts,Yes,Credit card application ,Yes,Bad credit,Yes,Artificial intelligence ,Yes,They aren't always accurate due to the specific that have been used.,17:09,Actually speaking to people to gain additional information if necessary.,3,4,3,3,5,3,4,3,3,4
No,2020/09/25 5:45:57 PM GMT+2,Female,36,No,Safari,16:42,Yes,Denied,Yes,An application to know a credit score ,Yes,Hard,Yes,"Mortgage, bank loan",No,Not enough activity,No,Don’t remember ,No,No human element ,16:44,"Not treat people as simply numbers, look at each case individually ",2,5,2,4,3,4,2,3,1,5
No,2020/09/25 6:47:02 PM GMT+2,Female,36,No,Opera,17:41,Yes,He was denied,No,Inquiry as to how good or bad his credit is,Yes,Hard,Yes,A credit card company checking your credit score after you applied,Yes,If you miss two months of payments,No,The credit approvall system,No,I'm not sure,17:46,I do not know,3,3,3,2,3,1,2,2,3,3
No,2020/09/25 4:55:24 PM GMT+2,Female,34,No,Safari,15:52,Yes,Denied,Yes,Request for credit information,Yes,Hard,Yes,Mortgage application,Yes,Non-payment,Yes,Artificial Neural Network,Yes,Bias,15:54,,3,4,3,1,3,2,3,2,3,1
No,2020/09/25 6:23:39 PM GMT+2,Female,33,Yes,Safari,17:16,Yes,Not to give him credit,Yes,To check someone credit rating ,Yes,Hard,Yes,Credit card check ,No,Average age of accounts,Yes,Artificial neural network,No,Don’t know,17:22,Nothing,4,1,5,1,5,1,5,1,5,1
